NAMESPACE,POD,CONTAINER,CMDLINE,STACK TRACE ID,STACK TRACE,COUNT,PERCENTAGE
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2225205,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6 ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226606,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*conn).readRequest;net/http.readRequest;net/textproto.(*Reader).readLineSlice;bufio.(*Reader).ReadLine;bufio.(*Reader).ReadSlice;bufio.(*Reader).fill;net/http.(*connReader).Read;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;syscall.read;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_read;[k] vfs_read;[k] sock_read_iter;[k] inet6_recvmsg;[k] tcp_recvmsg;[k] skb_copy_datagram_iter;[k] __skb_datagram_iter ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226704,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;runtime.systemstack.abi0;runtime.newproc.func1;runtime.startm ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227312,0x0000000000843940;runtime.mcall;runtime.park_m;runtime.execute ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227600,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*conn).readRequest;context.WithCancel;runtime.newobject;runtime.mallocgc;runtime.(*mcache).nextFree;runtime.(*mcache).refill;runtime.(*gcControllerState).update ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226500,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.setNoDelay;internal/poll.(*FD).SetsockoptInt;syscall.setsockopt;syscall.Syscall6;runtime/internal/syscall.Syscall6 ,2,1.16279
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227321,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*conn).readRequest;net/http.readRequest;net/url.ParseRequestURI;net/url.parse;net/url.unescape ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2223547,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.checkConnErrorWriter.Write;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] sock_write_iter;[k] tcp_sendmsg;[k] tcp_sendmsg_locked;[k] __tcp_push_pending_frames;[k] tcp_write_xmit;[k] __tcp_transmit_skb;[k] __ip_queue_xmit;[k] ip_output;[k] ip_finish_output2;[k] __local_bh_enable_ip;[k] do_softirq;[k] do_softirq_own_stack;[k] asm_call_sysvec_on_stack;[k] __softirqentry_text_start;[k] net_rx_action;[k] process_backlog;[k] ip_rcv;[k] NF_HOOK;[k] nf_hook_slow;[k] ipt_do_table ,2,1.16279
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2225088,runtime.mcall;runtime.park_m;runtime.schedule;runtime.findRunnable;runtime.stopm;runtime.notesleep;runtime.futex.abi0 ,4,2.32558
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226465,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;runtime.newobject ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226963,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net.(*TCPAddr).String;net.IP.String;runtime.slicebytetostring ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226264,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.checkConnErrorWriter.Write;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] sock_write_iter;[k] tcp_sendmsg;[k] release_sock;[k] __release_sock;[k] tcp_v4_do_rcv;[k] tcp_rcv_established;[k] tcp_ack;[k] __kfree_skb;[k] kfree;[k] memcg_slab_free_hook ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227497,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.checkConnErrorWriter.Write;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] sock_write_iter;[k] tcp_sendmsg;[k] tcp_sendmsg_locked ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226358,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.(*chunkWriter).writeHeader ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2226102,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;runtime.deferreturn;net/http.(*conn).serve.func1;net/http.(*conn).close;net.(*conn).Close;net.(*netFD).Close;internal/poll.(*FD).Close;internal/poll.(*FD).decref;internal/poll.(*FD).destroy;syscall.Close;syscall.Syscall;runtime/internal/syscall.Syscall6 ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227650,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.(*response).finishRequest;bufio.(*Writer).Flush;net/http.(*chunkWriter).Write;net/http.(*chunkWriter).writeHeader;net/http.DetectContentType;net/http.(*textSig).match;net/http.textSig.match ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227663,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227257,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;log.Printf;log.(*Logger).Output;os.(*File).Write;internal/poll.(*FD).Write;syscall.write;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_write;[k] vfs_write;[k] pipe_write;[k] __wake_up_sync_key;[k] _raw_spin_unlock_irqrestore ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2225599,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;os.hostname;syscall.Uname;syscall.RawSyscall;runtime/internal/syscall.Syscall6 ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227748,runtime.goexit.abi0;net/http.(*connReader).startBackgroundRead.func2;net/http.(*connReader).backgroundRead;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;syscall.read;syscall.Syscall;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] ksys_read;[k] __fdget_pos ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2227859,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;internal/poll.(*FD).Accept;internal/poll.accept;syscall.Accept4;syscall.accept4;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] kretprobe_trampoline;[k] __x64_sys_accept4;[k] __sys_accept4_file;[k] sock_alloc_file ,1,0.581395
default,default/hello-68ff47f84b-55krm,hello,/hello-app,2225194,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;runtime.systemstack.abi0;runtime.newproc.func1;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futex.abi0;[k] entry_SYSCALL_64_after_hwframe;[k] do_syscall_64;[k] __se_sys_futex;[k] do_futex;[k] wake_up_q;[k] try_to_wake_up;[k] _raw_spin_unlock_irqrestore ,2,1.16279
